Date,Revenue,Day of Month,Month,Year,Day of Week,Week of Year
9/20/2020,3843.93,0.869205224,-1.10E-05,2020,0.013600234,0.749901156
9/21/2020,2232.71,0.81294562,-1.10E-05,2020,0.432132383,0.708628593
9/22/2020,4362.19,0.747833474,-1.10E-05,2020,0.779402766,0.708628593
9/23/2020,2674.18,0.674577822,-1.10E-05,2020,0.973614316,0.708628593
9/24/2020,8506.59,0.593976379,-1.10E-05,2020,0.97662784,0.708628593
9/25/2020,16319.03,0.506906852,-1.10E-05,2020,0.787851543,0.708628593
9/26/2020,18481.23,0.414317381,-1.10E-05,2020,0.444357246,0.708628593
9/27/2020,4191.46,0.317216216,-1.10E-05,2020,0.013600234,0.708628593
9/28/2020,1743.50,0.216660737,-1.10E-05,2020,0.432132383,0.664775047
9/29/2020,4687.28,0.113745938,-1.10E-05,2020,0.779402766,0.664775047
9/30/2020,3267.06,0.009592506,-1.10E-05,2020,0.973614316,0.664775047
10/1/2020,6439.47,0.104210454,-0.500010604,2020,0.97662784,0.664775047
10/2/2020,14053.29,0.207286113,-0.500010604,2020,0.787851543,0.664775047
10/3/2020,20591.80,0.308104537,-0.500010604,2020,0.444357246,0.664775047
10/4/2020,5489.20,0.405567867,-0.500010604,2020,0.013600234,0.664775047
10/5/2020,2361.25,0.498614781,-0.500010604,2020,0.432132383,0.618500242
10/6/2020,4315.43,0.586232048,-0.500010604,2020,0.779402766,0.618500242
10/7/2020,2722.74,0.667465561,-0.500010604,2020,0.973614316,0.618500242
10/8/2020,3307.49,0.741430732,-0.500010604,2020,0.97662784,0.618500242
10/9/2020,6461.58,0.807322121,-0.500010604,2020,0.787851543,0.618500242
10/10/2020,5718.13,0.864422204,-0.500010604,2020,0.444357246,0.618500242
10/11/2020,3516.86,0.912109192,-0.500010604,2020,0.013600234,0.618500242
10/12/2020,3511.97,0.949863801,-0.500010604,2020,0.432132383,0.56997272
10/13/2020,4745.29,0.977274902,-0.500010604,2020,0.779402766,0.56997272
10/14/2020,2523.50,0.994044003,-0.500010604,2020,0.973614316,0.56997272
10/15/2020,4510.31,0.999988498,-0.500010604,2020,0.97662784,0.56997272
10/16/2020,9805.13,0.995043654,-0.500010604,2020,0.787851543,0.56997272
10/17/2020,11971.25,0.979263318,-0.500010604,2020,0.444357246,0.56997272
10/18/2020,3440.48,0.95281933,-0.500010604,2020,0.013600234,0.56997272
10/19/2020,2717.83,0.915999649,-0.500010604,2020,0.432132383,0.51936923
10/20/2020,5452.58,0.869205224,-0.500010604,2020,0.779402766,0.51936923
10/21/2020,2803.28,0.81294562,-0.500010604,2020,0.973614316,0.51936923
10/22/2020,5719.32,0.747833474,-0.500010604,2020,0.97662784,0.51936923
10/23/2020,5584.53,0.674577822,-0.500010604,2020,0.787851543,0.51936923
10/24/2020,7458.47,0.593976379,-0.500010604,2020,0.444357246,0.51936923
10/25/2020,2893.97,0.506906852,-0.500010604,2020,0.013600234,0.51936923
10/26/2020,1552.97,0.414317381,-0.500010604,2020,0.432132383,0.466874081
11/2/2020,3593.10,0.207286113,-0.866032138,2020,0.432132383,0.412678473
11/3/2020,5971.62,0.308104537,-0.866032138,2020,0.779402766,0.412678473
11/4/2020,2412.38,0.405567867,-0.866032138,2020,0.973614316,0.412678473
11/5/2020,5560.98,0.498614781,-0.866032138,2020,0.97662784,0.412678473
11/6/2020,11275.49,0.586232048,-0.866032138,2020,0.787851543,0.412678473
11/7/2020,19262.51,0.667465561,-0.866032138,2020,0.444357246,0.412678473
11/8/2020,4757.60,0.741430732,-0.866032138,2020,0.013600234,0.412678473
11/9/2020,1877.14,0.807322121,-0.866032138,2020,0.432132383,0.356979797
11/10/2020,4575.06,0.864422204,-0.866032138,2020,0.779402766,0.356979797
11/11/2020,3077.29,0.912109192,-0.866032138,2020,0.973614316,0.356979797
11/12/2020,6879.10,0.949863801,-0.866032138,2020,0.97662784,0.356979797
11/13/2020,8266.16,0.977274902,-0.866032138,2020,0.787851543,0.356979797
11/14/2020,4966.08,0.994044003,-0.866032138,2020,0.444357246,0.356979797
11/15/2020,3505.64,0.999988498,-0.866032138,2020,0.013600234,0.356979797
11/16/2020,2273.35,0.995043654,-0.866032138,2020,0.432132383,0.299980921
11/17/2020,6231.69,0.979263318,-0.866032138,2020,0.779402766,0.299980921
11/18/2020,2706.46,0.95281933,-0.866032138,2020,0.973614316,0.299980921
11/19/2020,3292.98,0.915999649,-0.866032138,2020,0.97662784,0.299980921
11/20/2020,10617.62,0.869205224,-0.866032138,2020,0.787851543,0.299980921
11/21/2020,13863.84,0.81294562,-0.866032138,2020,0.444357246,0.299980921
11/22/2020,4331.28,0.747833474,-0.866032138,2020,0.013600234,0.299980921
11/23/2020,3405.75,0.674577822,-0.866032138,2020,0.432132383,0.241889447
11/24/2020,2665.21,0.593976379,-0.866032138,2020,0.779402766,0.241889447
11/25/2020,1739.77,0.506906852,-0.866032138,2020,0.973614316,0.241889447
11/27/2020,2341.31,0.317216216,-0.866032138,2020,0.787851543,0.241889447
11/28/2020,2378.71,0.216660737,-0.866032138,2020,0.444357246,0.241889447
11/29/2020,2209.27,0.113745938,-0.866032138,2020,0.013600234,0.241889447
11/30/2020,1129.74,0.009592506,-0.866032138,2020,0.432132383,0.182916958
12/1/2020,3360.86,0.104210454,-1,2020,0.779402766,0.182916958
12/2/2020,2116.58,0.207286113,-1,2020,0.973614316,0.182916958
12/3/2020,3086.87,0.308104537,-1,2020,0.97662784,0.182916958
12/4/2020,7675.41,0.405567867,-1,2020,0.787851543,0.182916958
12/5/2020,12899.43,0.498614781,-1,2020,0.444357246,0.182916958
12/6/2020,2967.84,0.586232048,-1,2020,0.013600234,0.182916958
12/7/2020,3179.00,0.667465561,-1,2020,0.432132383,0.123278245
12/8/2020,3979.26,0.741430732,-1,2020,0.779402766,0.123278245
12/9/2020,3031.58,0.807322121,-1,2020,0.973614316,0.123278245
12/10/2020,6329.48,0.864422204,-1,2020,0.97662784,0.123278245
12/11/2020,9430.99,0.912109192,-1,2020,0.787851543,0.123278245
12/12/2020,5023.13,0.949863801,-1,2020,0.444357246,0.123278245
12/13/2020,2363.47,0.977274902,-1,2020,0.013600234,0.123278245
12/14/2020,1587.70,0.994044003,-1,2020,0.432132383,0.063190524
12/15/2020,3687.01,0.999988498,-1,2020,0.779402766,0.063190524
12/16/2020,3133.62,0.995043654,-1,2020,0.973614316,0.063190524
12/17/2020,3198.73,0.979263318,-1,2020,0.97662784,0.063190524
12/18/2020,5341.88,0.95281933,-1,2020,0.787851543,0.063190524
12/19/2020,4506.37,0.915999649,-1,2020,0.444357246,0.063190524
12/20/2020,2504.54,0.869205224,-1,2020,0.013600234,0.063190524
12/21/2020,1088.01,0.81294562,-1,2020,0.432132383,0.00287265
12/22/2020,2743.52,0.747833474,-1,2020,0.779402766,0.00287265
12/23/2020,1829.49,0.674577822,-1,2020,0.973614316,0.00287265
12/26/2020,3841.14,0.414317381,-1,2020,0.444357246,0.00287265
12/27/2020,2384.08,0.317216216,-1,2020,0.013600234,0.00287265
12/28/2020,1460.03,0.216660737,-1,2020,0.432132383,-0.057455688
12/29/2020,2764.03,0.113745938,-1,2020,0.779402766,-0.057455688
12/30/2020,4885.94,0.009592506,-1,2020,0.973614316,-0.057455688
12/31/2020,4295.20,-0.094665382,-1,2020,0.97662784,-0.057455688
1/1/2021,2494.96,0.104210454,-0.866024792,2021,0.787851543,-0.057455688
1/2/2021,2645.18,0.207286113,-0.866024792,2021,0.444357246,-0.057455688
1/3/2021,1574.39,0.308104537,-0.866024792,2021,0.013600234,-0.057455688
1/4/2021,1038.62,0.405567867,-0.866024792,2021,0.432132383,0.060323355
1/5/2021,2443.25,0.498614781,-0.866024792,2021,0.779402766,0.060323355
1/6/2021,1046.37,0.586232048,-0.866024792,2021,0.973614316,0.060323355
1/7/2021,2094.53,0.667465561,-0.866024792,2021,0.97662784,0.060323355
1/8/2021,3964.62,0.741430732,-0.866024792,2021,0.787851543,0.060323355
1/9/2021,3707.39,0.807322121,-0.866024792,2021,0.444357246,0.060323355
1/10/2021,3267.94,0.864422204,-0.866024792,2021,0.013600234,0.060323355
1/11/2021,1910.26,0.912109192,-0.866024792,2021,0.432132383,0.120426998
1/12/2021,2638.58,0.949863801,-0.866024792,2021,0.779402766,0.120426998
1/13/2021,1855.97,0.977274902,-0.866024792,2021,0.973614316,0.120426998
1/14/2021,2756.29,0.994044003,-0.866024792,2021,0.97662784,0.120426998
1/15/2021,3944.86,0.999988498,-0.866024792,2021,0.787851543,0.120426998
1/16/2021,6019.84,0.995043654,-0.866024792,2021,0.444357246,0.120426998
1/17/2021,4575.49,0.979263318,-0.866024792,2021,0.013600234,0.120426998
1/24/2021,0.00,0.593976379,-0.866024792,2021,0.013600234,0.18009202
1/26/2021,0.00,0.414317381,-0.866024792,2021,0.779402766,0.239101106
1/28/2021,954.55,0.216660737,-0.866024792,2021,0.97662784,0.239101106
2/3/2021,0.00,0.308104537,-0.499997879,2021,0.973614316,0.297239333
2/5/2021,0.00,0.498614781,-0.499997879,2021,0.787851543,0.297239333
2/9/2021,3576.45,0.807322121,-0.499997879,2021,0.779402766,0.354294947
2/10/2021,1143.53,0.864422204,-0.499997879,2021,0.973614316,0.354294947
2/11/2021,3615.19,0.912109192,-0.499997879,2021,0.97662784,0.354294947
2/12/2021,6137.51,0.949863801,-0.499997879,2021,0.787851543,0.354294947
