,Date,Revenue,Day of Week,Day of Month,Month,Year,1st Floor Sales,To Go Sales,Mezz Sales
174,10/26/2020,"1,552.97", Monday,26,10,20," 1,357.81", 810.75, 916.57
175,11/2/2020,"3,593.10", Monday,2,11,20, 391.37, 436.50, 462.00
176,11/3/2020,"5,971.62", Tuesday,3,11,20, 880.00, 441.50, 966.50
177,11/4/2020,"2,412.38", Wednesday,4,11,20," 2,332.50", 723.50," 1,829.50"
178,11/5/2020,"5,560.98", Thursday,5,11,20," 4,575.75", 165.00," 2,981.00"
179,11/6/2020,"11,275.49", Friday,6,11,20, 596.50, 825.25, 781.75
180,11/7/2020,"19,262.51", Saturday,7,11,20, 218.50, 353.25, 178.50
181,11/8/2020,"4,757.60", Sunday,8,11,20," 1,118.32", 374.25, 721.34
182,11/9/2020,"1,877.14", Monday,9,11,20, 577.75, 195.50, 735.50
183,11/10/2020,"4,575.06", Tuesday,10,11,20," 1,360.50", 452.00," 1,029.50"
184,11/11/2020,"3,077.29", Wednesday,11,11,20," 1,882.25"," 1,046.00"," 1,443.75"
185,11/12/2020,"6,879.10", Thursday,12,11,20," 1,362.75", 465.00," 1,451.50"
186,11/13/2020,"8,266.16", Friday,13,11,20, 458.75, 503.00, 413.00
187,11/14/2020,"4,966.08", Saturday,14,11,20, 339.25, 446.50, 479.50
188,11/15/2020,"3,505.64", Sunday,15,11,20, 941.84, 467.50," 1,312.78"
189,11/16/2020,"2,273.35", Monday,16,11,20, 695.25, 453.00, 835.00
190,11/17/2020,"6,231.69", Tuesday,17,11,20, 526.75, 522.50, 538.75
191,11/18/2020,"2,706.46", Wednesday,18,11,20," 1,867.75"," 1,612.75"," 1,873.00"
192,11/19/2020,"3,292.98", Thursday,19,11,20," 3,262.51", 188.00," 2,653.00"
193,11/20/2020,"10,617.62", Friday,20,11,20, 867.02, 912.00," 1,422.00"
194,11/21/2020,"13,863.84", Saturday,21,11,20, 986.00, 624.50, 919.00
195,11/22/2020,"4,331.28", Sunday,22,11,20, 762.34, 379.50, 838.20
196,11/23/2020,"3,405.75", Monday,23,11,20, 98.50, 676.50, 526.00
197,11/24/2020,"2,665.21", Tuesday,24,11,20, 465.25, 731.00, 407.00
198,11/25/2020,"1,739.77", Wednesday,25,11,20, 698.50, 845.50, 282.00
