Date,Revenue,Day of Week,Day of Month,Month,Year,One_Day_Prior_Revenue,Two_Days_Prior_Revenue,Three_Days_Prior_Revenue,Four_Days_Prior_Revenue,Five_Days_Prior_Revenue,Six_Days_Prior_Revenue,Seven_Days_Prior_Revenue,Seven_Days_Prior_Summed_Revenue
7/12/2020,28.75,Sunday,12,7,2020,4976.88,6781.47,3345.14,2332.67,4059.6,1767.24,2722.38,25985.38
7/13/2020,2270.23,Monday,13,7,2020,28.75,4976.88,6781.47,3345.14,2332.67,4059.6,1767.24,23291.75
7/14/2020,3661.85,Tuesday,14,7,2020,2270.23,28.75,4976.88,6781.47,3345.14,2332.67,4059.6,23794.74
7/15/2020,2650.27,Wednesday,15,7,2020,3661.85,2270.23,28.75,4976.88,6781.47,3345.14,2332.67,23396.99
7/16/2020,3675.21,Thursday,16,7,2020,2650.27,3661.85,2270.23,28.75,4976.88,6781.47,3345.14,23714.59
7/17/2020,6706.31,Friday,17,7,2020,3675.21,2650.27,3661.85,2270.23,28.75,4976.88,6781.47,24044.66
7/18/2020,8181.15,Saturday,18,7,2020,6706.31,3675.21,2650.27,3661.85,2270.23,28.75,4976.88,23969.5
7/19/2020,3397.79,Sunday,19,7,2020,8181.15,6706.31,3675.21,2650.27,3661.85,2270.23,28.75,27173.77
7/20/2020,2233.12,Monday,20,7,2020,3397.79,8181.15,6706.31,3675.21,2650.27,3661.85,2270.23,30542.81
7/21/2020,4666.97,Tuesday,21,7,2020,2233.12,3397.79,8181.15,6706.31,3675.21,2650.27,3661.85,30505.7
7/22/2020,1933.12,Wednesday,22,7,2020,4666.97,2233.12,3397.79,8181.15,6706.31,3675.21,2650.27,31510.82
7/23/2020,3647.5,Thursday,23,7,2020,1933.12,4666.97,2233.12,3397.79,8181.15,6706.31,3675.21,30793.67
7/24/2020,5850.16,Friday,24,7,2020,3647.5,1933.12,4666.97,2233.12,3397.79,8181.15,6706.31,30765.96
7/25/2020,6220.4,Saturday,25,7,2020,5850.16,3647.5,1933.12,4666.97,2233.12,3397.79,8181.15,29909.81
7/26/2020,4091.62,Sunday,26,7,2020,6220.4,5850.16,3647.5,1933.12,4666.97,2233.12,3397.79,27949.06
7/27/2020,860.58,Monday,27,7,2020,4091.62,6220.4,5850.16,3647.5,1933.12,4666.97,2233.12,28642.89
7/28/2020,4564.39,Tuesday,28,7,2020,860.58,4091.62,6220.4,5850.16,3647.5,1933.12,4666.97,27270.35
7/29/2020,2663.54,Wednesday,29,7,2020,4564.39,860.58,4091.62,6220.4,5850.16,3647.5,1933.12,27167.77
7/30/2020,3853.83,Thursday,30,7,2020,2663.54,4564.39,860.58,4091.62,6220.4,5850.16,3647.5,27898.19
7/31/2020,7903.01,Friday,31,7,2020,3853.83,2663.54,4564.39,860.58,4091.62,6220.4,5850.16,28104.52
8/1/2020,9025.21,Saturday,1,8,2020,7903.01,3853.83,2663.54,4564.39,860.58,4091.62,6220.4,30157.37
8/2/2020,4781.65,Sunday,2,8,2020,9025.21,7903.01,3853.83,2663.54,4564.39,860.58,4091.62,32962.18
8/3/2020,3068.3,Monday,3,8,2020,4781.65,9025.21,7903.01,3853.83,2663.54,4564.39,860.58,33652.21
8/4/2020,5018.43,Tuesday,4,8,2020,3068.3,4781.65,9025.21,7903.01,3853.83,2663.54,4564.39,35859.93
8/5/2020,3264.58,Wednesday,5,8,2020,5018.43,3068.3,4781.65,9025.21,7903.01,3853.83,2663.54,36313.97
8/6/2020,3927.68,Thursday,6,8,2020,3264.58,5018.43,3068.3,4781.65,9025.21,7903.01,3853.83,36915.01
8/7/2020,9234.12,Friday,7,8,2020,3927.68,3264.58,5018.43,3068.3,4781.65,9025.21,7903.01,36988.86
8/8/2020,10971.88,Saturday,8,8,2020,9234.12,3927.68,3264.58,5018.43,3068.3,4781.65,9025.21,38319.97
8/9/2020,5441.39,Sunday,9,8,2020,10971.88,9234.12,3927.68,3264.58,5018.43,3068.3,4781.65,40266.64
8/10/2020,3219.22,Monday,10,8,2020,5441.39,10971.88,9234.12,3927.68,3264.58,5018.43,3068.3,40926.38
8/11/2020,5583.91,Tuesday,11,8,2020,3219.22,5441.39,10971.88,9234.12,3927.68,3264.58,5018.43,41077.3
8/12/2020,4950.28,Wednesday,12,8,2020,5583.91,3219.22,5441.39,10971.88,9234.12,3927.68,3264.58,41642.78
8/13/2020,7497.01,Thursday,13,8,2020,4950.28,5583.91,3219.22,5441.39,10971.88,9234.12,3927.68,43328.48
8/14/2020,8325.7,Friday,14,8,2020,7497.01,4950.28,5583.91,3219.22,5441.39,10971.88,9234.12,46897.81
8/15/2020,9683.65,Saturday,15,8,2020,8325.7,7497.01,4950.28,5583.91,3219.22,5441.39,10971.88,45989.39
8/16/2020,4627.37,Sunday,16,8,2020,9683.65,8325.7,7497.01,4950.28,5583.91,3219.22,5441.39,44701.16
8/17/2020,3008.76,Monday,17,8,2020,4627.37,9683.65,8325.7,7497.01,4950.28,5583.91,3219.22,43887.14
8/18/2020,6211.46,Tuesday,18,8,2020,3008.76,4627.37,9683.65,8325.7,7497.01,4950.28,5583.91,43676.68
8/19/2020,2510.81,Wednesday,19,8,2020,6211.46,3008.76,4627.37,9683.65,8325.7,7497.01,4950.28,44304.23
8/20/2020,4760.1,Thursday,20,8,2020,2510.81,6211.46,3008.76,4627.37,9683.65,8325.7,7497.01,41864.76
8/21/2020,7932.08,Friday,21,8,2020,4760.1,2510.81,6211.46,3008.76,4627.37,9683.65,8325.7,39127.85
8/22/2020,7470.09,Saturday,22,8,2020,7932.08,4760.1,2510.81,6211.46,3008.76,4627.37,9683.65,38734.23
8/23/2020,5138.83,Sunday,23,8,2020,7470.09,7932.08,4760.1,2510.81,6211.46,3008.76,4627.37,36520.67
8/24/2020,3494.47,Monday,24,8,2020,5138.83,7470.09,7932.08,4760.1,2510.81,6211.46,3008.76,37032.13
8/25/2020,4493.43,Tuesday,25,8,2020,3494.47,5138.83,7470.09,7932.08,4760.1,2510.81,6211.46,37517.84
8/26/2020,3260.96,Wednesday,26,8,2020,4493.43,3494.47,5138.83,7470.09,7932.08,4760.1,2510.81,35799.81
8/27/2020,3930.81,Thursday,27,8,2020,3260.96,4493.43,3494.47,5138.83,7470.09,7932.08,4760.1,36549.96
8/28/2020,8972.05,Friday,28,8,2020,3930.81,3260.96,4493.43,3494.47,5138.83,7470.09,7932.08,35720.67
8/29/2020,10596.21,Saturday,29,8,2020,8972.05,3930.81,3260.96,4493.43,3494.47,5138.83,7470.09,36760.64
8/30/2020,3374.1,Sunday,30,8,2020,10596.21,8972.05,3930.81,3260.96,4493.43,3494.47,5138.83,39886.76
8/31/2020,1473.83,Monday,31,8,2020,3374.1,10596.21,8972.05,3930.81,3260.96,4493.43,3494.47,38122.03
9/1/2020,4308.56,Tuesday,1,9,2020,1473.83,3374.1,10596.21,8972.05,3930.81,3260.96,4493.43,36101.39
9/2/2020,3260.12,Wednesday,2,9,2020,4308.56,1473.83,3374.1,10596.21,8972.05,3930.81,3260.96,35916.52
9/3/2020,3922,Thursday,3,9,2020,3260.12,4308.56,1473.83,3374.1,10596.21,8972.05,3930.81,35915.68
9/4/2020,7281.5,Friday,4,9,2020,3922,3260.12,4308.56,1473.83,3374.1,10596.21,8972.05,35906.87
9/5/2020,8003.06,Saturday,5,9,2020,7281.5,3922,3260.12,4308.56,1473.83,3374.1,10596.21,34216.32
9/6/2020,4811.89,Sunday,6,9,2020,8003.06,7281.5,3922,3260.12,4308.56,1473.83,3374.1,31623.17
9/7/2020,3310.56,Monday,7,9,2020,4811.89,8003.06,7281.5,3922,3260.12,4308.56,1473.83,33060.96
9/8/2020,3820.82,Tuesday,8,9,2020,3310.56,4811.89,8003.06,7281.5,3922,3260.12,4308.56,34897.69
9/9/2020,1805.66,Wednesday,9,9,2020,3820.82,3310.56,4811.89,8003.06,7281.5,3922,3260.12,34409.95
9/10/2020,5275.46,Thursday,10,9,2020,1805.66,3820.82,3310.56,4811.89,8003.06,7281.5,3922,32955.49
9/11/2020,9699.81,Friday,11,9,2020,5275.46,1805.66,3820.82,3310.56,4811.89,8003.06,7281.5,34308.95
